Low-Code No-Code Platform,Job Site,Job Title,Company,Location(s),Experience,Role,Preferred Key Skills,Requirements (Job Description),Responsibilities,JD Link,No. of Vacancies,Salary Offered,,
Pegasystems,indeed.com,BPM Pega-Pega Developer-Staff,EY,Bengaluru,,,"• 3-4 years of Pega Application development knowledge using Pega Development platform
• Should have completed at least 2 end to end Pega projects
• Working knowledge on Pega Constellation
• Experience in Pega Case Management, Process Flows, Pega Integrations, Security Models (RBAC, ABAC), Reporting
• Good hands-on experience in Decision & Declarative Rules, Data Pages, Job Schedulers, File / Email Listeners
• Experience in UI/UX, Portals development
• Understanding of Class Structure design
• Understanding of Pega Best Practices, Guardrail improvement techniques
• Experience in project implementation methodologies such as Agile (scrum), Waterfall
• Knowledge OR certification in one of the Pega Frameworks such as CDH, Smart Dispute, CLM, CS …
• Knowledge on Pega upgrades/migrations","• Strong communication, presentation and interpersonal skills along with experience in producing high quality reports, work papers, and presentations.
• Participating in the organization-wide people initiatives.
• Hands on experience on at least 2-3 development projects in Pega
• Knowledge of Java/J2EE platform is a plus
• Understanding of relational database and hands-on experience in PL/SQL
• Should cross skill and cross train as per the business requirements.","• Participate in Scrum ceremonies and provide status updates
• Ensure on-time delivery of allocated tasks
• Participate in design, development, QA, deployment and support as require
• Compliance to EY policies and procedures like Timesheet / Leaves management etc.
• Ensuring adherence to quality protocols specified for the project
• Update technical design and unit test cases and ensure high quality deliverables
• Building of Technical Assets and Accelerators",https://in.indeed.com/viewjob?jk=f1a4fccec956f88a&tk=1i6rmkmprjhrt860&from=serp&vjs=3,,,,
Pegasystems,indeed.com,Pega CSSA Lead,Virtusa,Andhra Pradesh,• Minimum 6 + years of Pega hands on experience,Pega CSSA Lead,• Primary Skill : Pega Development & Administration,"• Working knowledge of PEGA 8+
• Logistic domain knowledge
• No customization & Low code mindset
• Sound technical skills around Pega 7
• Good communication & interpersonal skills
• Good team player; able to work with virtual teams across geographies
• Technical leadership with good communication and interpersonal skills
• ","• Capable of analyzing requirements and develop software as per project defined software process
• Develop and peer review of LLD (Initiate/ participate in peer reviews)
• Resolve technical issues of projects and Explore alternate designs
• Participates as a team member and fosters teamwork by inter-group coordination within the modules of the project.
• Effectively collaborates and communicates with the stakeholders and ensure client satisfaction
• Train and coach members of project groups to ensure effective knowledge management activity.",https://in.indeed.com/viewjob?jk=3b671b73b0969bad&tk=1i6rmkmprjhrt860&from=serp&vjs=3,,,,
Pegasystems,indeed.com,Specialist - Architecture,LTIMindtree,Gurgaon,,,Pega-Architecture,,"Take part to User Story refinement
Analyzes requirements and request modification or enrich it when needed
Participate on Design of the solution
Implement qualitative application
Build application as close as possible to Pega out of the box features
Create or modify Unit Tests when necessary along the implementation of new functionalities
Participate to manual testing activities when required
Pro actively monitor application quality
Ensure that logs do not display unwanted messages and errors
Participate to the Peer Review process
Fix incident and problems when necessary",https://in.indeed.com/viewjob?jk=4ae4da58c026194a&tk=1i6rmkmprjhrt860&from=serp&vjs=3,,,,
Pegasystems,indeed.com,Architect - Pega,DHL,Chennai,10+ years,Senior Pega Architect,"Architecture, design, development and delivery of enterprise applications and end-to-end BPM project execution experience using Pega PRPC tool.","• A Certified Lead System Architect (CLSA) from Pega.
• Proficient in Pega Implementation life cycle like modeling of business process, PRPC tool installation, build and deployment, development, testing.
• Sound skills on PRPC tools such as Tracer, Clipboard and System Management Application (SMA).
• Experienced Developer for defining class structure and hierarchy based on Pega best practices and guardrails, security based on role and privileges, configuring agents, connectors, data model, process \ flows, business logic definition and user interface Design.
• Expert level experience in software development life cycle (SDLC) best practices and Written documentation
• Experience in phases of Smart Build BPM life cycle like model, build, execute and monitor using PRPC.","• Active participation of PI planning and evaluating project requirements with all the scrum teams.
• Providing the solutions in PEGA by incorporating with other technologies as well.
• Performing the performance reviews with load test, working with teams for any performance issues fixed.
• Participate in the release planning and deployment calls for delivering the product to business stakeholders.
• Designing the reusable components to use them across enterprise and leading COE Practice.
• Active participation in business feedback calls after release, working with admin teams to have stable application 24/7.
• Expertise in building framework layer, application layer & reusable components, reporting features, performance tunings etc.",https://in.indeed.com/viewjob?jk=9a004bb1348d8b61&tk=1i6ro3j00jhqb859&from=serp&vjs=3,,,,
Pegasystems,indeed.com,Pega Admin / Upgrade developer,TridhyaTech Pvt Ltd,Remote,6+ years of PEGA experience and certified on or before 2018,PEGA Certified developer,PEGA ,"• Working experience of Pega application administration with WebSphere & Tomcat
• Must have done Pega upgrade with v7.x on premise installation.
• Good understanding of Connectors, Services & User Interface development
• Good at documentation and creating structured instructions for production support teams.
• Working knowledge of RDBMS, SQLs with preferred work experience with PostgreSQL
• Extremely efficient with troubleshooting Pega environment related issues using Pega tools.
• Comprehensive understanding of ruleset-versions, release management, rule conflict management and app-server / classified-node configurations.
• Well familiar with Pega rules & case DB tables
• Working knowledge of Dev-Ops setups, clustered nodes, rule-conflicts, and resolutions.
• Ability to work with various technical stacks, understanding new applications, collaborate with integration teams.
• Knowledge of Cloud concepts, Hazelcast, Elastic Search, Kafka
• Ability to learn and provide hands on services as required.","• Capable of analyzing requirements and develop software as per project defined software process
• Develop and peer review of LLD (Initiate/ participate in peer reviews)
• Adoption to Agile execution methodologies, review of test plans, support UAT
• Resolve technical issues of projects and explore alternate designs.
• Participates as a team member and fosters teamwork by inter-group coordination within the modules of the project.
• Effectively collaborates and communicates with the stakeholders and ensure client satisfaction
• Train and coach members of project groups to ensure effective knowledge management activity.",https://in.indeed.com/viewjob?cmp=TridhyaTech-Pvt-Ltd&t=Developer&jk=c727775d84fb39a4&q=pega&xpse=SoBV67I38b4ihmQNjx0LbzkdCdPP&xfps=eed2a413-e20c-4051-9ffe-38ebef64e80f&xkcb=SoBM67M38b4Bv1gNmr0IbzkdCdPP&vjs=3,,"28,00,000 a year",,
Pegasystems,linkedin,Pega Consultant,Infosys,Hyderabad,Entry Level,,Business Process Management->Pega,"• Java
• One or two industry domain knowledge
• Awareness of latest technologies and trends
•  Logical thinking and problem solving skills along with an ability to collaborate
•  Ability to assess the current processes, identify improvement areas and suggest the technology solutions
• Pegasystems PRPC","• To actively aid the consulting team in different phases of the project including problem definition, effort estimation, diagnosis, solution generation and design and deployment
• You will explore the alternatives to the recommended solutions based on research that includes literature surveys, information available in public domains, vendor evaluation information, etc. and build POCs
• You will create requirement specifications from the business needs, define the to-be-processes and detailed functional designs based on requirements.
• You will support configuring solution requirements on the products; understand if any issues, diagnose the root-cause of such issues, seek clarifications, and then identify and shortlist solution alternatives
• You will also contribute to unit-level and organizational initiatives with an objective of providing high quality value adding solutions to customers. If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
• Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data",https://www.linkedin.com/jobs/view/3980704854,,,,
Pegasystems,linkedin,Software Engineer,Pegasystems,Bengaluru,2-3 years of software development experience in Pega,Software Engineer,• CSA certified required and CSSA certified preferable. ,"• Excellent verbal and written communication skills, including poise in pressure situations 
• Strong debugging skills. 
• Proactive in doing research and come up with new ideas. 
• Good understanding on Software development methodologies and quality processes 
• Exposure to Devops is an additional benefit ","• Work as part of a collaborative Agile team working in a SCRUM model surrounded by fun loving talented engineers 
• Be part of a dynamic and fast-growing team delivering strategically important solutions for world-class customers. 
• Leverage best in class technologies and frameworks for building robust features in the product. 
• Deliver solutions in an iterative approach for an as-a-Service solution. ",https://www.linkedin.com/jobs/view/4005675880,,,,
Pegasystems,linkedin,Pega Developer,Growel Softech Pvt Ltd.,Bengaluru,Entry Level,Pega Developer,"Flow Charts
• PRPC
• Pega PRPC
• Pegasystems PRPC",,"Develop and design Pega applications according to project requirements.
• Analyze business processes and create solutions to enhance efficiency and productivity.
• Maintain, fix, and improve existing Pega applications.
• Collaborate with other software developers, business analysts, software architects, and IT professionals to implement Pega solutions.
• Use Pega PRPC (PegaRULES Process Commander) to design and develop process-based applications.
• Perform code reviews to ensure application quality.
• Test the functionality of the Pega application and debug any issues.
• Provide technical support and user training for Pega applications.
• Keep up to date with the latest Pega technology and updates.
• Document and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments, and clear code.
• Adhere to project timelines and deliverable schedules.
• Contribute to the continuous improvement of development processes.
• Participate in meetings with clients to gather and document requirements and explore potential solutions.",https://www.linkedin.com/jobs/view/4009321726,,,,
Pegasystems,linkedin,PEGA CSA,Alp Consulting Ltd.,Bangalore Urban,Entry Level,PEGA CSA,"• PRPC
• Pegasystems PRPC
• Business Process Management","• Have working knowledge and experience in using PEGA cloud infrastructure.
• Have working knowledge and experience in PEGA 8.1
• Demonstrate a strong background in requirements gathering, tracking and analysis with an ability to communicate the information to both technical and non-technical professionals.
• The ideal candidate should have working knowledge and experience of the PEGA Rules Process Commander: PRPC 6.x and above PEGA Smart BPM PEGA Direct capture of objectives (DCO).
• Understand the principles of application design and development.",,https://www.linkedin.com/jobs/view/3930786034,,,,
Pegasystems,linkedin,Pega RPA/DPA,Talentbot Technologies,Chennai,Entry Level,Pega RPA/DPA,,,Work with the stakeholders to understand the automationopportunities and develop automations using PegaRPA/DPA solution and support the existing automationsthat are already developed. Develop Automations through Agile Principles and ensure to attend to all the Agile Ceremonies and adhere to the Product driven Organization principles and keep the status of the workup to date in the Rally tool,https://www.linkedin.com/jobs/view/3945938917,,,,
Pegasystems,linkedin,PEGA Testing Consultant,Infosys,Bengaluru East,Entry Level,PEGA Testing Consultant,Test Automation Tools,"Experience in Automation including PEGA knowledge is also considerable.
• PEGA Developers interested in testing stream are welcomed, training will be provided.
• Finance/Telecom/Energy Domain and Agile Experience
• Strong experience in Pega testing
• Should have worked on Pega – 7x/8x/Infinity.
• Experience in one or more scripting languages, automation tools like Selenium.","Preparation of Test case and scripting, test execution, Defect analysis & Reporting.
• Perform functional, automation, regression, and integration testing to identify defects and ensure high-quality deliverables.
• Collaborate with developers and business analysts to troubleshoot issues.
• Good in client communication and should be flexible enough to work as Individual contributor.",https://www.linkedin.com/jobs/view/3987974877,,,,
Pegasystems,linkedin,Pega SI Developer,Virtusa,Bangalore Urban,Entry Level,CSA: Product Engineer,"• IT Integration
• Pegasystems PRPC","• Experience Minimum 3+ years of experience s in pega PRPC and at least 1 to 2 years in Smart Investigate
","• Lead the end-to-end design, configuration, and deployment of Pega Smart Investigate solutions tailored to the organization's needs. 
• Collaborate with business units to gather requirements and translate them into effective Pega workflows, case management, and UI components.
• Process Analysis and Optimization: Analyze existing investigation processes and identify opportunities for improvement and automation using Pega Smart Investigate. 
• Streamline case management, automate repetitive tasks, and enhance decision-making capabilities to accelerate resolution times and reduce operational costs.
• Pega Application Development: Develop and customize Pega Smart Investigate applications to align with business goals, compliance requirements, and best practices.",https://www.linkedin.com/jobs/view/4001589554,,,,
Microsoft Power Apps,naukri.com,PowerApps Developer,KSB,Pune,5 - 10 years,Software Development - Other,"Microsoft Dynamics 365
Canvas
Power Platform
PowerApps
Microsoft Power Automate",Knowledge of Dataverse tables and SharePoint Online,"To design, develop, and deploy customized applications using Microsoft Power Apps platform. The ideal candidate should have a strong understanding of Microsoft (MS365) Power Platform and be able to create responsive, intuitive and scalable apps that meet the needs of our organization.
Design and create database models
Microsoft Dynamics 365 (must skills).
PCF component development for Dynamics 365
Knowledge of Dataverse tables and SharePoint Online",PowerApps Developer - Pune - KSB - 5 to 10 years of experience (naukri.com),,,,
Microsoft Power Apps,naukri.com,Senior Powerapps Developer,purview services,Hyderabad,7 - 12 years,Software Development - Other,"Microsoft Power Automate
Canvas
Powerapps","Applied Knowledge of Microsoft Power Platform Services: In-depth understanding of its capabilities, boundaries, and constraints.
Authentication and Security: Basic understanding of authentication, security, and application lifecycle management (ALM) practices for the Microsoft Power Platform.
Development Experience: Proficiency in Microsoft Power Platform services, JavaScript, JSON, TypeScript, C#, HTML, RESTful Web APIs, and Microsoft Azure.
Good understanding of Design, Solution, Infrastructure setup, DevOps for large Power Platform Projects.
Certification: Power platform, Microsoft Dynamic & Azure certifications will be preferred.
Good to have knowledge on Power BI
BFSI experience will be added advantage.
Excellent problem-solving skills.
Strong communication and interpersonal skills.","Design and Develop Solutions: As a Power Platform Developer, youll design, develop, test, secure, and troubleshoot Microsoft Power Platform solutions. You’ll implement components of a solution that include:
Application enhancements.
Custom user experiences.
System integrations.
Hands on experience on Power Apps, Power Automate, Co-pilot studio, Power Pages, Canvas application
Problem-Solving: You’ll be responsible for identifying and solving technical challenges related to the Power Platform.
Continuous Learning: Stay up-to-date with industry trends and developments to enhance your skills and adapt to evolving technologies.
Collaboration: Work closely with business analysts and other team members to understand requirements and deliver effective solutions.",Senior Powerapps Developer - Hyderabad / Secunderabad - Purview India Consulting And Services Llp - 7 to 12 years of experience (naukri.com),,15-25 Lacs P.A.,,
Microsoft Power Apps,naukri.com,PowerApps Developer,Coforge,Noida,6 - 10 years,Back End Developer,power apps development,"7-8 + years of total experience.
3-4 years of relevant experience on Power Apps Extensive experience in the designing and delivering projects in MS PowerApps, MS Power Automate and Power BI (optional).
Experience in the analysis, design, development and guiding powerapp developers in delivering enterprise scale apps.
Experience in designing and developing new PowerApps model and canvas driven apps as well as enhancing existing apps.
Understanding PowerApps formulas and development methods.
Knowledge of PowerApps licensing Automating business processes with Power Automate.
Ability to create custom connectors for MS Power Automate. Experience with API or REST services integrations.
Understanding of how to implement solutions with multiple data sources.","Developing Azure logic apps, Developing Azure functions.
Providing Power BI development and support.
Willing to learn leading edge Microsoft enterprise cloud technologies such as Dynamics 365 CRM, Office 365, Microsoft Azure.
Good working knowledge of .Net, C#, ASP.Net MVC, Entity Framework, JavaScript, HTML and CSS.
Experience with SQL and RDBMS technologies will be preferable.
Creating and configuring SharePoint intake workflow applications.","PowerApps Developer - Coforge,Noida From 6 to 10 year(s) of experience (naukri.com)",,,,
Microsoft Power Apps,naukri.com,Power Apps Developer,BriskWin IT (BWIT),"Pune, Chennai, Mumbai (All Areas)",5 - 10 years,Software Development - Other,"Canvas
Power Platform
Sharepoint Framework
Sharepoint
Powerapps",,"Design, develop, and implement custom solutions using Power Platform tools such as Power Apps, Power Automate, and Power BI.
Work closely with business stakeholders to gather requirements and understand business processes.
Develop and maintain data models, forms, workflows, and dashboards within the Power Platform environment.
Integrate Power Platform solutions with other Microsoft and third-party applications.
Perform unit testing, troubleshooting, and debugging of Power Platform solutions.
Provide technical guidance and support to project teams and end-users.
Stay updated on the latest features and capabilities of the Power Platform and recommend best practices for implementation.","Power Apps Developer - Chennai,Pune,Mumbai (All Areas) - BriskWin IT (BWIT) - 5 to 10 years of experience (naukri.com)",,,,
Microsoft Power Apps,naukri.com,Sr. Power Apps Developer,Burns & Mcdonnell,Mumbai,5 - 10 years,Software Development - Other,"Computer science
Basic
Microsoft Sharepoint
C
Oracle SQL
Business Analyst
Programming
power bi
Information technology
SQL
","Working as part of the team to build, optimize, secure, and manage PowerApps applications.
Having knowledge in Microsoft Power Platform technologies and other power platform solutions.
Curious and proactive in getting the optimal results together with clients/stakeholders.
Providing technical expertise to the team and client/stakeholder at all levels by assisting with requirement definition, providing complex solutions, and steering them in the right direction.","Liaising with UI/UX designers and business analysts to design Power Platform solutions.
Developing PowerApps solutions as per business requirements.
Connecting data from different data sources like SharePoint, SQL, Oracle or Dataverse in PowerApps.
Developing flows in Power Automate to automate the processes.
Migrating app in different environments as per timelines.
Liaising with Power BI developers to support reports and dashboards.Passion for Microsoft technology
Proficient in Excel formula structure
Awareness of programming languages (C#)
Basic understanding of SQL or similar databases
Ability to understand logical linking between different set of controls and variables
Ability to quickly learn how existing system operates
Excellent communication and organizational skills
Prior working experience with Microsoft SharePoint, PowerApps and Power Automate is a plus.",Sr. Power Apps Developer - Mumbai - Burns & Mcdonnell - 5 to 10 years of experience (naukri.com),,,,
Microsoft Power Apps,naukri.com,Power Apps Developer,Service based Corporate,Bengaluru,"5 - 10 years
",Software Development - Other,"Power Platform
Power Automate
Powerapps","Technical Skills:
Proficiency in PowerApps, Power Automate, and Power BI.
Strong knowledge of Azure services, including Azure Functions, Logic Apps, and API Management.
Experience with Common Data Service (CDS) / Dataverse and integrating with various data sources.
Familiarity with programming languages such as C#, JavaScript, and SQL.
Understanding of DevOps practices and CI/CD pipelines for Power Platform solutions.
Soft Skills:
Excellent problem-solving and analytical skills.
Strong communication and interpersonal skills.
Ability to work independently and as part of a team.",,Power Apps Developer - Bengaluru/Bangalore - NR Consulting - 5 to 10 years of experience (naukri.com),,,,
Microsoft Power Apps,naukri.com,Power Apps Developer,NextWave Consulting,Chennai,"6 - 10 years
",ETL Developer,"Canvas
Power Platform
Power Apps Development
Azure Services
Dax

Certifications:

PL 400 – Power Apps
PL 300 – Power BI
PL 500 – Power Automate","Azure services - Azure SQL, ADF, Logic Apps, Azure Funcs
Candidates with Strong DAX, Power Apps development exp building Canvas Apps and Model Driven Apps using Azure Services.
",#NAME?,Power Apps Developer - Chennai - Inumellas Consultancy Services - 5 to 10 years of experience (naukri.com),,18-30 Lacs P.A.,,
Microsoft Power Apps,indeed.com,Power Platform/Dynamics 365 Developer,Ojas Innovative Technologies,India,4 - 12 years,Power Platform/Dynamics 365 Developer,"Strong experience with Microsoft Power Platform (Power Apps, Power Automate).
Proficiency in customizing and configuring Dynamics 365 modules.
Experience in developing and maintaining custom plugins, workflows, and scripts in Dynamics 365.
Knowledge of integrating Power Platform solutions with other systems.","Professional Skills:

Excellent communication skills to effectively collaborate with clients and team members.
Strong problem-solving abilities and attention to detail.
Ability to work independently and as part of a team.","Microsoft Power Platform Development:
Develop, customize, and integrate solutions using Microsoft Power Platform, including Power Apps and Power Automate.
Dynamics 365 Customizations:
Design and implement customizations, extensions, and workflows in Dynamics 365 to meet business requirements and improve operational efficiency.
Configure and optimize Dynamics 365 modules, including Sales, Customer Service, and Field Service.
System Enhancements:
Develop and maintain custom plugins, workflows, and scripts in Dynamics 365 to enhance system functionality and automate business processes.
Integration Solutions:
Integrate Power Platform solutions with other systems and applications to ensure seamless data flow and operational efficiency.",https://in.indeed.com/rc/clk?jk=f72dfe3ece2cdd70&bb=9eyAc0BFw8ig9CzFS-RPW5RJ7RdgqrkztWHuXMvPXEStq3NUQNlrmzn81yw8GnjoOQS41oJcXdOws2amrpMRE1rZUweVTZXKDmnujD7349FICcnwFKmC5nEMSrmgtnun&xkcb=SoBr67M38e1ERRWXYx0KbzkdCdPP&fccid=4781a8149f0ef5f0&vjs=3,,,,
Microsoft Power Apps,indeed.com,Power Platform Developer/Senior Power Platform Developer,Techneplus,Noida,4 - 6 years,"Power Platform(MS Form, SharePoint, Power Automation and Power App) Developer","Strong expertise in Microsoft Power Apps, with experience in developing canvas and model-driven apps with rich user interfaces and data integration capabilities.","Minimum of 3 years of hands-on experience in developing and implementing solutions using Microsoft Power Patform
Expertise in UI automation solution development framework for any type of client core application like Mainframe, web, and Windows application
Proficiency in Microsoft Forms, including the ability to create customized forms, quizzes, and surveys to gather data and feedback effectively.
Strong expertise in Microsoft Power Apps, with experience in developing canvas and model-driven apps with rich user interfaces and data integration capabilities.
Knowledge of using connectors and APIs to integrate Power Apps with various data sources and external systems.
Familiarity with Microsoft 365 suite, SharePoint, and Power Automate (formerly Microsoft Flow) is a plus.
Understanding of data validation, security principles, and user access controls within MS Forms and Power Apps.
Problem-solving skills to identify and resolve technical issues and optimize application performance.
Excellent communication skills to collaborate with stakeholders and articulate technical concepts to non-technical audiences.
Ability to work independently and as part of a team, managing multiple projects and deadlines effectively.
Previous experience in application development and programming languages is beneficial but not mandatory.","Collaborate with business stakeholders to understand their requirements and translate them into effective MS Form, SharePoint, and Power App solutions.
Develop and implement automated solutions using Microsoft Power Automate for various business processes.
Design and create customized Microsoft Forms for data collection, surveys, and feedback gathering, ensuring ease of use and user-friendliness.
Develop Power Apps with a focus on user interfaces, data integration, and process automation to address specific business needs.
Utilize connectors and APIs to integrate Power Apps with various data sources and external systems for seamless data exchange.
Implement data validation and security measures to ensure the integrity and confidentiality of information collected through MS Forms and Power Apps.
Optimize MS Form and Power App performance, responsiveness, and scalability for optimal end-user experiences.
Troubleshoot and resolve issues related to MS Forms and Power Apps, providing timely support and solutions to users.
Collaborate with other developers and cross-functional teams to enhance overall application development processes and efficiency.",https://in.indeed.com/rc/clk?jk=3d6bc86bcd3a3df7&bb=9eyAc0BFw8ig9CzFS-RPW_TtkG5Mf-BProjyLyI2Z3nkFvi-0NFw8lsMzs1QRflF9VK7OA6TjGoxjISdQOUTa9f17awJHCX6taJoC6r5CEmxMhaYpDr33bVMavzQ2eUk&xkcb=SoDM67M38e1ERRWXYx0PbzkdCdPP&fccid=ca2dc242f58e938e&vjs=3,,"?16,00,000 - ?18,00,000 a year",,
Microsoft Power Apps,indeed.com,Technology Platform Engineer,Accenture,Pune,5+ years,Technology Platform Engineer,"Must have skills : Microsoft Power Apps
Good to have skills : Microsoft Power BI","As a Technology Platform Engineer, you will be responsible for creating production and non-production cloud environments using the proper software tools. Your role will involve deploying the automation pipeline and automating environment creation and configuration. You will play a crucial role in ensuring the smooth functioning of the platform for the project or product. Roles & Responsibilities: - Expected to be an SME, collaborate and manage the team to perform. - Responsible for team decisions. - Engage with multiple teams and contribute on key decisions. - Provide solutions to problems for their immediate team and across multiple teams. - Manage and maintain the cloud environments for the project or product. - Deploy the automation pipeline and automate environment creation and configuration. - Collaborate with cross-functional teams to ensure smooth functioning of the platform. - Troubleshoot and resolve any issues related to the cloud environments. - Stay updated with the latest industry trends and best practices in cloud technologies. - Implement security measures to protect the cloud environments. - Optimize the performance and scalability of the cloud environments. - Document and maintain the configuration of the cloud environments. Professional & Technical Skills: - Must To Have Skills: Proficiency in Microsoft Power Apps. - Good To Have Skills: Experience with Microsoft Power BI. - Strong understanding of cloud technologies and platforms. - Experience in creating and managing cloud environments. - Knowledge of automation tools and pipelines. - Familiarity with security measures and best practices in cloud environments.",Creates production and non-production cloud environments using the proper software tools such as a platform for a project or product. Deploys the automation pipeline and automates environment creation and configuration.,https://in.indeed.com/rc/clk?jk=a54b624dc8176557&bb=9eyAc0BFw8ig9CzFS-RPW0hMUGZzroNwJPVPvG7nfB8S_jIlBWs_kX9PmJ6PhfNQ_ZOTEwRPa_D3mXB7ygEhlGO1E7J9k867joGvXXT7z8dMu5x5G_ED0g%3D%3D&xkcb=SoB467M38e1ERRWXYx0ObzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3,,,,
Microsoft Power Apps,indeed.com,Technical Lead,Wipro Limited,Pune,,,"Power BI
Sharepoint
Azure
AI","Proven experience in developing solutions using Microsoft Power Platform (Power Apps, Power Automate, Power BI, and Power Virtual Agents).
Experience with Power Fx coding for building complex formulas and expressions within Power Apps.
Experience with data integration and working with various data sources.
Familiarity with other Microsoft technologies (e.g., SharePoint, Dynamics 365, Azure) is a plus.
Bonus points for familiarity with Fabric, Dataverse, Virtual Bots, Co Pilot, and the intro of the AI Capability builder.
Ready to work in an agile manner, for example at times needing to convert visual requirements into build.",,https://in.indeed.com/rc/clk?jk=a54b624dc8176557&bb=9eyAc0BFw8ig9CzFS-RPW0hMUGZzroNwJPVPvG7nfB8S_jIlBWs_kX9PmJ6PhfNQ_ZOTEwRPa_D3mXB7ygEhlGO1E7J9k867joGvXXT7z8dMu5x5G_ED0g%3D%3D&xkcb=SoB467M38e1ERRWXYx0ObzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3,,,,
Microsoft Power Apps,indeed.com,Power Platform Administrator,Aon Corporation,Bengaluru,8-15 Years,Power platform administrator,"Microsoft Power Apps, Power Bi, Power Automate, MS Teams, SharePoint, and other data integrations.","Administer, maintain, and support the global Aon Power Platform in accordance with Aon’s design and security guidelines.","Delivering services and solutions as part of the Power Platform team using a suite of Microsoft Power Apps, Power Bi, Power Automate, MS Teams, SharePoint, and other data integrations.
Identify areas and processes where Power Platform can be better leveraged and facilitate business process improvement.
Provide architecture, configuration, code, system administration, and functional support to expand the company’s capabilities in Microsoft Power Platform
Work closely with business units, developers, and other IT teams to understand requirements, provide effective solutions, and help them implement POCs and pilots.
Provide solution design guidance to internal and vendor developers; review and approve automation solution designs before production implementation.
Set up and manage environments; implement DLP policies and environment strategy.
Manage user roles and permissions related to Power Platform services like Dataverse, On-premises data gateway, etc.
Manage licensing, capacity, AI credits and other resource allocation for Power Platform services.
Organize training on Power Platform components and features to evangelize, support, and cultivate the Power Platform user community.","Power Platform Administrator - Bengaluru, Karnataka - Indeed.com",,,,
Microsoft Power Apps,indeed.com,Application Developer,Accenture,Gurgaon,2+ years,Application Developer,Microsoft 365 SharePoint Online Development,Microsoft Power Apps,"Design, build and configure applications to meet business process and application requirements.","Application Developer - Gurugram, Haryana - Indeed.com",,,,
Microsoft Power Apps,indeed.com,Power Platform Specialist,AstraZeneca,Chennai,8+ years,Power Platform Specialist,"Power Apps, Power Automate, and Dataverse","Strong experience with Power Apps development, including canvas apps, model-driven apps, and custom connectors.
Proficiency in using TypeScript, JavaScript, and PCF components.
Strong understanding of .NET framework and experience integrating Power Apps with various data sources, APIs, and third-party services.
Ability to analyze complex business problems and translate them into effective and scalable Power Apps solutions.
Ability to manage multiple projects simultaneously, adhere to timelines, and communicate progress effectively.
Focus on creating intuitive, user-friendly interfaces that enhance the user experience.
Experience with rigorous testing methodologies and ensuring high-quality deliverables.
Excellent verbal and written communication skills.

Possession of Microsoft Power Platform functional consultant certification.
Familiarity with Agile development processes and tools.
Understanding of cloud computing concepts, particularly within Microsoft Azure.
Experience with advanced Power Platform features, including AI Builder, Power Virtual Agents, and integrations with other Microsoft 365 services.","As a Power Platform Specialist, you will design and develop custom business applications using Power Apps (canvas apps, model-driven apps, portals) and integrate them with various data sources. You will leverage Power Automate to automate business processes, create workflows, and integrate applications with other services and platforms. You will also write custom code using TypeScript, JavaScript, and PCF components to extend the functionality of Power Apps and address complex business needs. Your role will also involve conducting unit testing, integration testing, and supporting User Acceptance Testing (UAT) to ensure the applications meet the required standards and specifications.",,,,,
Microsoft Power Apps,linkedin,PowerApps Developer,Pro5.ai,India,Entry Level,PowerApps Developer,Proficiency in PowerApps development and implementation,"Experience in designing and building custom interfaces
Knowledge of integrating data sources into PowerApps solutions
Strong problem-solving and analytical skills
Ability to work independently and remotely
Good communication and collaboration skills
Experience with Microsoft Power Platform (Power BI, Power Automate) is a plus
Bachelor's degree in Computer Science or related field","This is a contract remote role for a PowerApps Developer at Pro5.ai. The PowerApps Developer will be responsible for designing, developing, and implementing PowerApps solutions to meet business requirements. Their tasks will involve creating custom interfaces, integrating data sources, and ensuring the functionality and usability of the PowerApps applications.",https://www.linkedin.com/jobs/view/4008781832,,,,
