Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
Qn)oops concept,5) OOPs concept,Tech,N/A,Object-Oriented Programming,"Inheritance, Polymorphism",Theoretical,
Qn)SQL Joins,6) SQL Joins,Tech,SQL,Database,Query Execution,Theoretical,
Qn)Project brief,7) Project brief,Non-Tech,N/A,Project Management,N/A,Theoretical,
Qn)My Task in the project,8) My Task in the project,Non-Tech,N/A,Project Management,N/A,Theoretical,
Qn)Real time example of abstraction,9) Real-time example of abstraction,Tech,N/A,Object-Oriented Programming,Abstraction,Theoretical,
Qn)Interface use,10) Interface use,Tech,N/A,Object-Oriented Programming,Interface,Theoretical,
Qn)Bubble Sort,Bubble Sort,Tech,Algorithms,Sorting Algorithms,N/A,Code Based,
"Oops concepts Encapsulation , Abstraction , Polymorphism, Inheritance","Oops concepts Encapsulation , Abstraction , Polymorphism, Inheritance",Tech,Object-Oriented Programming,Oops Concepts,"Encapsulation, Abstraction, Polymorphism, Inheritance",Theoretical,
 Exception In java ,Exception In java,Tech,Java,Exception Handling,N/A,Theoretical,
What is throw ,What is throw,Tech,Java,Exception Handling,N/A,Theoretical,
 Differences B/w String Object  make using '=' and using new. ,Differences B/w String Object make using '=' and using new.,Tech,Java,String Handling,N/A,Theoretical,
 What is string constant pool?,What is string constant pool?,Tech,Java,String Handling,N/A,Theoretical,
 Collection Framework Class and Interface example ,Collection Framework Class and Interface example,Tech,Java,Collections Framework,N/A,Theoretical,
What is differences between set and list ,What is differences between set and list,Tech,Java,Collections Framework,Set vs List,Theoretical,
What is differences between Arraylist and hashtable?,What is differences between Arraylist and hashtable?,Tech,Java,Collections Framework,ArrayList vs Hashtable,Theoretical,
What is Operations in a database? ,What is Operations in a database?,Tech,Database Management,Database Operations,N/A,Theoretical,
Types of joins ? ,Types of joins?,Tech,Database,SQL,Joins,Theoretical,
Events in Javascript ,Events in Javascript,Tech,JavaScript,Web Development,Events,Theoretical,
How declare a function in javascript:,How to declare a function in Javascript?,Tech,JavaScript,Web Development,Functions,Theoretical,
 text box value validation in javascript,Textbox value validation in Javascript,Tech,JavaScript,Web Development,Validation,Code Based,
"1)Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.  ","Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.",Tech,Programming,Algorithms,Array Manipulation,Code Based,
4)First repeating char in a string ,First repeating char in a string,Tech,Programming,String Manipulation,N/A,Code Based,
"5)Basics of Networking and OS like OSI layers, TCP, UDP, IP, Virtual memory,,HTTP, FCFS,what is OS, How to find IP in a device and some scenario based on networks ","Basics of Networking and OS like OSI layers, TCP, UDP, IP, Virtual memory, HTTP, FCFS, what is OS, How to find IP in a device and some scenario based on networks",Tech,Networking & OS,Networking and Operating Systems,"OSI Layers, TCP, UDP, IP, Virtual Memory, HTTP, FCFS, OS, IP Address",Theoretical,
what are the difference you find in java and C++? ,What are the differences you find in Java and C++?,Tech,Programming Languages,"Java, C++",N/A,Theoretical,
2)Tell me what you know about setter and getter method? ,Tell me what you know about setter and getter methods?,Tech,Programming,Object-Oriented Programming,Setters and Getters,Theoretical,
3)how to make a database connection? ,How to make a database connection?,Tech,Database Management,Database Connection,N/A,Theoretical,
4)why should i hire you? ,Why should I hire you?,HR,N/A,Job Interview,N/A,Theoretical,
5)If i hire you will you give the 100% results from your side? ,"If I hire you, will you give 100% results from your side?",HR,N/A,Job Performance,N/A,Theoretical,
6)what you know about FIS? ,What do you know about FIS?,Tech,N/A,Company Knowledge,N/A,Theoretical,
7)will you be able to learn new concepts?quickly? ,Will you be able to learn new concepts quickly?,Tech,N/A,Learning Ability,N/A,Theoretical,
8)what are your hobbies ? ,What are your hobbies?,Non-Tech,N/A,Personal Interests,N/A,Theoretical,
9)why you didn't get placed in 2019? ,Why didn't you get placed in 2019?,HR,N/A,Job History,N/A,Theoretical,
10)introduce yourself. ,Introduce yourself.,HR,N/A,Self Introduction,N/A,Theoretical,
12)what was your role in the project? ,What was your role in the project?,Non-Tech,N/A,Project Details,N/A,Theoretical,
Introduce yourself. ,Introduce yourself.,HR,N/A,Self Introduction,N/A,Theoretical,
2)Tell me what you know about the setter and getter method? ,Tell me what you know about the setter and getter method?,Tech,Programming (General),Object-Oriented Programming,Setter/Getter,Theoretical,
3)how to make a database connection? ,How to make a database connection?,Tech,Database,Database Connection,N/A,Code Based,
4) why should I hire you? ,Why should I hire you?,HR,N/A,Personal Qualities,N/A,HR,
5) What are your strengths? ,What are your strengths?,HR,N/A,Personal Qualities,N/A,HR,
6)what you know about FIS? ,What do you know about FIS?,Tech,Financial Software,Company Information,N/A,Theoretical,
7)what are your hobbies? ,What are your hobbies?,Non-Tech,N/A,Personal Interests,N/A,HR,
8) Any work experience? If yes why did you choose to work there and what is the reason you left the work. ,"Any work experience? If yes, why did you choose to work there and what is the reason you left the work?",HR,N/A,Work Experience,N/A,HR,
9) Do you know about SSFS? ,Do you know about SSFS?,Tech,N/A,Technology Knowledge,N/A,Theoretical,
"How you will implements if particular food is in stock or not? Consider a situation if a user buying 5 pizzas and second user 10 pizzas at the second time and there is only 10 pizzas in stock, how you will manage it?","How would you implement checking if a particular food is in stock or not? Consider a situation if a user is buying 5 pizzas and a second user 10 pizzas at the second time, and there are only 10 pizzas in stock. How would you manage it?",Tech,N/A,Inventory Management,Concurrency Control,Code Based,
Con currency,Concurrency,Tech,Concurrent Programming,Concurrency,N/A,Theoretical,
Which interface string class implements,Which interface string class implements,Tech,Object-Oriented Programming,Interfaces,N/A,Theoretical,
Which class string builder and string buffer implements,Which class StringBuilder and StringBuffer implements?,Tech,Java,String Manipulation,N/A,Theoretical,
Abstract class vs interface,Abstract class vs interface,Tech,Java,Object-Oriented Programming,N/A,Theoretical,
Diamond problem,Diamond problem,Tech,Programming Concepts,Inheritance,N/A,Theoretical,
How to achieve multiple inheritance,How to achieve multiple inheritance,Tech,Java,Inheritance,N/A,Theoretical,
"JVM , JRE , JDK","JVM , JRE , JDK",Tech,Java,Java Virtual Machine,N/A,Theoretical,
2:-  why main method is public ,Why is the main method public?,Tech,Java,Main Method,N/A,Theoretical,
"3: - String literal , String new Keyword","String literal , String new Keyword",Tech,Java,String Manipulation,N/A,Theoretical,
4: -  why we can create a private variable ,Why can we create a private variable?,Tech,Programming Concepts,Encapsulation,N/A,Theoretical,
5:-  why using public ,Why using public,Tech,Programming Concepts,Access Modifiers,N/A,Theoretical,
How to run Java program with 2 classes. ,How to run Java program with 2 classes,Tech,Java,Java Program Structure,N/A,Theoretical,
What is the manner of security in access modifier.,What is the manner of security in access modifier?,Tech,Programming,Security,Access Modifier,Theoretical,
Introduction ,Introduction,HR,N/A,Personal,N/A,Theoretical,
Technical Skills ,Technical Skills,Tech,N/A,General Technical,N/A,Theoretical,
What angular version you've been using to develop?fronend?  ,What angular version you've been using to develop?frontend?,Tech,Angular,Frontend Development,Version,Theoretical,
What software u used for developing backend? ,What software u used for developing backend?,Tech,Backend Technologies,Backend Development,Tools,Theoretical,
Tour of Capstone Project. ,Tour of Capstone Project.,Tech,Project Management,Project Overview,Capstone Project,Theoretical,
Favourite domain of Web Application. ,Favourite domain of Web Application.,Non-Tech,N/A,Web Development,N/A,Theoretical,
Company Enquiries further.... ,Company Enquiries further....,HR,N/A,Company Culture,N/A,Theoretical,
Jwt – token ,Jwt – token,Tech,Web Security,JWT,Token,Theoretical,
1.Collections and collection? ,Collections and collection?,Tech,Programming,Data Structures,Collections,Theoretical,
2.Ways of creating thread? ,Ways of creating thread?,Tech,Java,Multithreading,Thread Creation,Code Based,
3.Use of thread.run and thread.start()? ,Use of thread.run and thread.start()?,Tech,Java,Multithreading,Thread Execution,Theoretical,
4.differences between Hashmap and hashset? ,Differences between HashMap and HashSet?,Tech,Java,Data Structures,HashMap vs HashSet,Theoretical,
5.Arraylist and linkedlist? ,ArrayList and LinkedList?,Tech,Java,Data Structures,ArrayList vs LinkedList,Theoretical,
6.Xml configuration and java configuration of spring? ,Xml configuration and Java configuration of Spring?,Tech,Java,Spring Framework,Configuration in Spring,Theoretical,
7.How to annotate entity class? ,How to annotate entity class?,Tech,Java,Hibernate,Entity Annotation,Code Based,
8.HOW TO FIGURE THE PRIMARY KEY OF CLASS? ,HOW TO FIGURE THE PRIMARY KEY OF CLASS?,Tech,Java,Hibernate,Primary Key in Hibernate,Theoretical,
9.Diff between @Id and embeddedid? ,Diff between @Id and @EmbeddedId?,Tech,Java,Hibernate,@Id vs @EmbeddedId,Theoretical,
10.What is a composite key? ,What is a composite key?,Tech,Database,Database Design,Composite Keys,Theoretical,
11.In java where do we need composite keys? ,"In Java, where do we need composite keys?",Tech,Java,Database Design,Composite Keys Usage,Theoretical,
12.@Autowired annotation? ,1. @Autowired annotation?,Tech,Spring Framework,Dependency Injection,N/A,Code Based,
13.What is ioc? ,2. What is IOC?,Tech,Spring Framework,Inversion of Control,N/A,Theoretical,
14.What is DI? ,3. What is DI?,Tech,Software Development,Dependency Injection,N/A,Theoretical,
15.Tight coupling and loose coupling in java? ,4. Tight coupling and loose coupling in Java?,Tech,Java,Software Design,Coupling,Theoretical,
16.explain about Inheritance and composition?  ,5. Explain about Inheritance and composition?,Tech,Java,Object-Oriented,"Inheritance, Composition",Theoretical,
17.Write a program to find duplicate elements in arraylist? ,6. Write a program to find duplicate elements in ArrayList?,Tech,Java,Data Structures,"ArrayList, Duplicate Elements",Code Based,
*How runtime ploymorphism occur at runtime? ,7. How does runtime polymorphism occur at runtime?,Tech,Java,Polymorphism,Runtime Polymorphism,Theoretical,
*how you perform constructor dependency injection? ,8. How do you perform constructor dependency injection?,Tech,Spring Framework,Dependency Injection,Constructor Injection,Code Based,
*explain modules of spring? ,9. Explain modules of Spring?,Tech,Spring Framework,Spring Modules,N/A,Theoretical,
*what is @qualifer? ,10. What is @Qualifier?,Tech,Spring Framework,Dependency Injection,Qualifier Annotation,Theoretical,
*what is reponseentity?and its replacements? ,11. What is ResponseEntity and its replacements?,Tech,Spring Framework,Web Development,"ResponseEntity, Alternatives",Theoretical,
*Explain? breifly how you are communicating frontend and backend? ,Explain briefly how you are communicating frontend and backend?,Tech,Web Development,Communication,N/A,Theoretical,
*how you are communicating 2 services? ,How are you communicating two services?,Tech,Software Architecture,Communication,N/A,Theoretical,
1.??? What is data converter in Angular? ,What is data converter in Angular?,Tech,Angular,Concepts,Data Converter,Theoretical,
2.??? What is Angular Lifecycle?  ,What is Angular Lifecycle?,Tech,Angular,Concepts,Lifecycle,Theoretical,
3.??? Can we use Object without Class?  ,Can we use Object without Class?,Tech,Java,Concepts,N/A,Theoretical,
4.??? What is Thread in Java and have you done any code?  ,What is Thread in Java and have you done any code?,Tech,Java,Concepts,Thread,Code Based,
5.??? What is Two-way Databinding in angular? ,What is Two-way Databinding in Angular?,Tech,Angular,Concepts,Databinding,Theoretical,
6.??? How can we perform Two-way Databinding in angular ,How can we perform Two-way Databinding in Angular?,Tech,Angular,Concepts,Databinding,Code Based,
7.??? How can you make a request from frontend to backend? ,How can you make a request from frontend to backend?,Tech,Web Development,Communication,N/A,Theoretical,
8.??? What are the Angular Concepts? ,What are the Angular Concepts?,Tech,Angular,Concepts,N/A,Theoretical,
9.??? What is Get and Post Requests? ,What is Get and Post Requests?,Tech,Web Development,HTTP Methods,N/A,Theoretical,
What is the version of Angular you are using? ,What is the version of Angular you are using?,Tech,Angular,Angular Version,N/A,Theoretical,
?How can we pass data from one component to another component? ,How can we pass data from one component to another component?,Tech,Angular,Data Binding,N/A,Theoretical,
How can we pass data from component to Service in Angular? ,How can we pass data from component to Service in Angular?,Tech,Angular,Angular Services,N/A,Theoretical,
What is filter and how can you filter in java? ,What is filter and how can you filter in Java?,Tech,Java,Filtering in Java,N/A,Theoretical,
Questions on SQL Queries to join two tables? ,Questions on SQL Queries to join two tables?,Tech,SQL,SQL Joins,N/A,Theoretical,
What is diff between while loop and for loop?? ,What is the difference between a while loop and a for loop?,Tech,Programming,Looping Constructs,N/A,Theoretical,
How can we talk with components in angular ? ,How can we talk with components in Angular?,Tech,Angular,Component Communication,N/A,Theoretical,
How to access the 2nd toppest salary employee in mysql ?  ,How to access the 2nd toppest salary employee in MySQL?,Tech,MySQL,SQL Queries,Subqueries,Theoretical,
SQL For counting All the employees:? ,SQL for counting all the employees:,Tech,SQL,SQL Queries,Aggregation,Theoretical,
SQL For Grouping by Age ,SQL For Grouping by Age,Tech,SQL,Grouping,Age,Code Based,
Concurrentmodificationexception ,Concurrentmodificationexception,Tech,Java,Exception Handling,N/A,Theoretical,
@componentscan ,@componentscan,Tech,Spring Framework,Spring Annotations,@ComponentScan,Theoretical,
@restcontroller ,@restcontroller,Tech,Spring Framework,Spring Annotations,@RestController,Theoretical,
What is stringbuffer and stringbuilder? ,What is stringbuffer and stringbuilder?,Tech,Java,String Manipulation,N/A,Theoretical,
How String pool work in java? ,How String pool work in java?,Tech,Java,Memory Management,String Pool,Theoretical,
What is arraylist? ,What is arraylist?,Tech,Java,Data Structures,ArrayList,Theoretical,
Polymorphism? ,Polymorphism?,Tech,Java,Object-Oriented,Polymorphism,Theoretical,
Java Inheritance? ,Java Inheritance?,Tech,Java,Object-Oriented,Inheritance,Theoretical,
Method Overloading and Method Overriding? ,Method Overloading and Method Overriding?,Tech,Java,Object-Oriented Programming,OOP,Theoretical,
Intern() in java? ,Intern() in Java?,Tech,Java,Java Language,N/A,Theoretical,
.equals and == ? ,.equals and == ?,Tech,Java,Java Language,N/A,Theoretical,
"Introduction, project explanation and how you make your project responsive ","Introduction, project explanation, and how you make your project responsive",Non-Tech,N/A,N/A,N/A,Theoretical,
"Tools & Technology i used in project and he ask about the rabbitmq (What is producer, What is consumer)","Tools & Technology used in the project and questions about RabbitMQ (Producer, Consumer)",Tech,RabbitMQ,Message Queue,N/A,Theoretical,
Factorial program in java,Factorial program in Java,Tech,Java,Programming,N/A,Code Based,
Reverse Number program in java,Reverse Number program in Java,Tech,Java,Programming,N/A,Code Based,
"5.suppose we have one table movie and this table contains all attribute related to movie like movieid, moviename, releaseyear, releasemonth then give a query to find the movie released in 2017 and order by month. ","Suppose we have one table ""movie"" with attributes (movieid, moviename, releaseyear, releasemonth). Give a query to find the movie released in 2017 and order by month.",Tech,SQL (Database Query),Database,SQL Query,Code Based,
Oops Concept in brief,Oops Concept in brief,Tech,Object-Oriented Programming,Object-Oriented Programming,OOP,Theoretical,
Method Overloading & Method Overriding,Method Overloading & Method Overriding,Tech,Java,Object-Oriented Programming,OOP,Theoretical,
Difference between Spring and springboot.,Difference between Spring and Spring Boot,Tech,"Spring, Spring Boot",Frameworks,N/A,Theoretical,
About hashtree,About hashtree,Tech,Data Structures,Hashing,N/A,Theoretical,
Bean and what is @Bean annotation.,Bean and what is @Bean annotation,Tech,Spring,Dependency Injection,N/A,Theoretical,
Scope of bean.,Scope of bean,Tech,Spring,Dependency Injection,N/A,Theoretical,
What is singleton and prototype bean.,What is singleton and prototype bean,Tech,Spring,Dependency Injection,N/A,Theoretical,
How we said that angular is used to make a single page application.,How we said that Angular is used to make a single page app,Tech,Angular,Frontend Development,N/A,Theoretical,
What is Dependency Injection.,What is Dependency Injection,Tech,Software Architecture,Dependency Injection,N/A,Theoretical,
What we need to inject value from dependency injection.,What we need to inject value from Dependency Injection,Tech,Software Architecture,Dependency Injection,N/A,Theoretical,
What is Exception.,What is Exception,Tech,Java,Exception Handling,N/A,Theoretical,
What is checked and unchecked exception with example.,What is checked and unchecked exception with example,Tech,Java,Exception Handling,N/A,Theoretical,
Which type of exception we caught at run time or compile time with example.,Which type of exception we caught at run time or compile time with example.,Tech,Programming,Exception Handling,N/A,Theoretical,
1/0 is a what type of exception and where we caught means in runtime or compile time.,1/0 is a what type of exception and where we caught means in runtime or compile time.,Tech,Programming,Arithmetic Exception,N/A,Theoretical,
If there is a list of number like 0010000100000 then how you could sort.,If there is a list of numbers like 0010000100000 then how you could sort.,Tech,Programming,Sorting,N/A,Theoretical,
1.Tell me about DML and DQL commands in MYSQL  ,Tell me about DML and DQL commands in MYSQL,Tech,Database,MySQL,Data Manipulation Language (DML) and Data Query Language (DQL),Theoretical,
2.Tell me about Truncate and Delete in MYSQL  ,Tell me about Truncate and Delete in MYSQL,Tech,Database,MySQL,Truncate and Delete Operations,Theoretical,
3.What is Indexing in SQL ,What is Indexing in SQL,Tech,Database,SQL,Indexing,N/A,
4.What is Primary key in SQL ,What is Primary key in SQL,Tech,Database,SQL,Primary Key,N/A,
5.What is a foreign key in SQL? ,What is a foreign key in SQL?,Tech,Database,SQL,Foreign Key,N/A,
6.What is Unique key in SQL? ,What is Unique key in SQL?,Tech,Database,SQL,Unique Key,N/A,
7.What is the difference between count(*) and count(column) from the employee table query ,What is the difference between count(*) and count(column) from the employee table query,Tech,Database,SQL,Aggregate Functions (Count),N/A,
8.What session you have used in sql ,What session you have used in SQL,Tech,SQL,Sessions,N/A,Theoretical,
9.What is JWT token ,What is JWT token,Tech,Security,JSON Web Tokens,N/A,Theoretical,
10.Where we Store JWT Token  ,Where we Store JWT Token,Tech,Security,JSON Web Tokens,Storage,Theoretical,
What is DI in IOC ? ,What is DI in IOC?,Tech,Software Development,Dependency Injection,Inversion of Control,Theoretical,
12.What is an Interface ,What is an Interface,Tech,Programming,Object-Oriented Concepts,Interface,Theoretical,
13.what is the difference between array and array list? ,What is the difference between array and array list?,Tech,Programming,Data Structures,"Array, ArrayList",Theoretical,
14.how do you know that specific request is coming from client only ,How do you know that a specific request is coming from the client only,Tech,Web Development,"HTTP, Request Validation",N/A,Theoretical,
15.can we have multiple  DTO classes in the API? ,Can we have multiple DTO classes in the API?,Tech,Software Development,API Design,Data Transfer Objects,Theoretical,
16.Access specifiers in JAVA? ,Access specifiers in JAVA?,Tech,Java,Programming,Access Specifiers,Theoretical,
17.Why can’t we use MYSQL over MONGODB ,Why can’t we use MYSQL over MONGODB,Tech,Databases,Database Management,"MySQL, MongoDB",Theoretical,
18.How can we find a specific index in array list? ,How can we find a specific index in an array list?,Tech,Data Structures,Arrays/List,N/A,Code Based,
19.Query to join two table if the foreign key is ID? ,Query to join two tables if the foreign key is ID?,Tech,Database,SQL,Joins,Code Based,
20.About testing ,About testing,Tech,Testing,Software Testing,N/A,Theoretical,
21.How can you respond if you are given a report which is performing very slowly ,How can you respond if you are given a report which is performing very slowly?,Non-Tech,N/A,Performance Optimization,N/A,Theoretical,
22.What are the steps you will take while evaluating the report which is working slowly ,What are the steps you will take while evaluating the report which is working slowly?,Non-Tech,N/A,Performance Evaluation,N/A,Theoretical,
23.Can you explain me about MVC ,Can you explain me about MVC?,Tech,Web Development,Model-View-Controller (MVC),N/A,Theoretical,
24.Why authentication is performed at the front end only ,Why authentication is performed at the front end only?,Tech,Web Development,Authentication,Front-end Authentication,Theoretical,
25.How you make sure that user is authenticating with valid credentials ,How do you make sure that the user is authenticating with valid credentials?,Tech,Web Development,Authentication,Credential Validation,Theoretical,
26.After deleting 100 records in the table what will happen if you insert a new record ,"After deleting 100 records in the table, what will happen if you insert a new record?",Tech,Database,SQL,Database Operations,Theoretical,
27.After Truncation 100 records what will happen if you insert a new record ,"After Truncation of 100 records, what will happen if you insert a new record?",Tech,Database,SQL,Database Operations,Theoretical,
28.What is Garbage collector and can you call it explicitly ,What is Garbage collector and can you call it explicitly?,Tech,Programming,Memory Management,Garbage Collection,Theoretical,
1)Introduce yourself ,1) Introduce yourself,HR,N/A,Self Introduction,N/A,N/A,
2)What is the main feature of java ,2) What is the main feature of Java,Tech,Java,Java Basics,N/A,Theoretical,
3)Whats is oops and explain in details ,3) What is OOPs and explain in detail,Tech,N/A,Object-Oriented Programming,N/A,Theoretical,
4)Difference between compile time and runtime polymorphism ,4) Difference between compile time and runtime polymorphism,Tech,Java,Java Basics,Polymorphism,Theoretical,
5)what difference between mysql and mongodb ,5) What is the difference between MySQL and MongoDB,Tech,"Database (MySQL, MongoDB)",Database,N/A,Theoretical,
6)why mysql is relational database ,6) Why MySQL is a relational database,Tech,MySQL,Database,Relational,Theoretical,
7)what is collections in mongodb ,7) What is collections in MongoDB,Tech,MongoDB,Database,Collections,Theoretical,
8)write a query to get the second highest salary from the employee table ,8) Write a query to get the second-highest salary from the employee table,Tech,SQL,Database,SQL Query,Code Based,
9)what is css ,9) What is CSS,Tech,Web Development (CSS),Web Development,N/A,Theoretical,
10)how columns are represented ,How are columns represented?,Tech,N/A,Database,N/A,Theoretical,
11)what is spring ,What is Spring?,Tech,Spring Framework,Spring,N/A,Theoretical,
12)what is dependency injection ,What is Dependency Injection?,Tech,Spring Framework,Spring,N/A,Theoretical,
13)What is aop in spring ,What is AOP in Spring?,Tech,Spring Framework,Aspect-Oriented Programming (AOP),N/A,Theoretical,
14)what is bootstrap ,What is Bootstrap?,Tech,Bootstrap,Front-End Development,N/A,Theoretical,
Difference btwn array and arraylist ,Difference between array and ArrayList?,Tech,Java,Data Structures,Arrays and ArrayLists,Theoretical,
2. Which one is better if we have 100 entries. ,Which one is better if we have 100 entries: Array or ArrayList?,Tech,Java,Data Structures,Arrays and ArrayLists,Theoretical,
3. Program to reverse the string ,Program to reverse the string.,Tech,Programming Language,String Manipulation,String Reversal,Code Based,
4. Program to remove the spaces from the string ,Program to remove the spaces from the string.,Tech,Programming Language,String Manipulation,Space Removal,Code Based,
5. Difference btwn == and equals? ,Difference between == and equals?,Tech,Programming Languages,Comparison,N/A,Theoretical,
6. How to use == by ignoring the case senstivity? ,How to use == by ignoring the case sensitivity?,Tech,N/A,Programming Basics,N/A,Code Based,
7. Difference btwn primary key and unique key ,Difference between primary key and unique key,Tech,Database,Database Management,"Primary Key, Unique Key",Theoretical,
8. Questions related to foreign key ,Questions related to foreign key query,Tech,Database,Database Management,Foreign Key,Theoretical,
Querry ,,,,,,,
9. Drop table in presence of foreign key ,Drop table in the presence of foreign key,Tech,Database,Database Management,N/A,Code Based,
10. Adding new column in table ,Adding a new column in the table,Tech,Database,Database Management,N/A,Code Based,
11. Group by with condition ,Group by with condition,Tech,Database,Database Management,Group By,Code Based,
12. Count(column) and count(randomnumber) difference ,Count(column) and count(randomnumber) difference,Tech,Database,Database Management,Count Function,Theoretical,
Definition of Dependency injection?  ,Definition of Dependency Injection,Tech,Software Development,Design Patterns,Dependency Injection,Theoretical,
Describe Spring ? ,Describe Spring,Tech,Java,Framework,Spring,Theoretical,
What is abstraction ? ,What is abstraction,Tech,General Programming,Concepts,Abstraction,Theoretical,
Difference?between abstract class and interface ? ,Difference between abstract class and interface,Tech,Java,Concepts,Object-Oriented Programming,Theoretical,
Query for displaying student name starts with a ? ,Query for displaying student name starts with a,Tech,SQL,Query,Filtering,Code Based,
How string is immutable ? ,How string is immutable,Tech,General Programming,Concepts,String Manipulation,Theoretical,
1.Tell something about Yourself. ,Tell something about Yourself,HR,N/A,Personal,Personal Introduction,Theoretical,
2.Tools used in Your Project. ,Tools used in Your Project,Tech,N/A,Tools,Project Management,Theoretical,
3.Which used more classes either  Bootstrap or Used defined classes ,Which used more classes either Bootstrap or Used defined classes,Tech,Web Development,Libraries,"Bootstrap, User-Defined Classes",Theoretical,
4.How user uses your application ,How user uses your application,Non-Tech,N/A,Application Usage,User Interaction,Theoretical,
5.Difference between stringbuffer and stringbuilder ,Difference between StringBuffer and StringBuilder,Tech,Java,Classes,"StringBuffer, StringBuilder",Theoretical,
"6.Given String s=""xyzsstx""; Find index of character repeating next to it; ","Given String s=""xyzsstx""; Find index of character repeating next to it",Tech,Java,String Manipulation,String Indexing,Code Based,
7.find values repeating more than once in same string? ,Find values repeating more than once in the same string?,Tech,String manipulation,String manipulation,Repeating values,Code Based,
8.find third max sal from table data; ,Find the third max salary from table data,Tech,SQL,Database,Query execution,Code Based,
How SQL queries generated in java; ,How are SQL queries generated in Java?,Tech,Java,Database,SQL in Java,Theoretical,
10.There are 2 jars one conatins 3 litre water another has 5 liters water how to get  4 litre water .(not answered as there is no marks on jar or not to use any measures) ,"There are 2 jars, one contains 3 liters of water, another has 5 liters of water. How to get 4 liters of water? (No markings on jars or use of any measures)",Non-Tech,N/A,Logical Reasoning,N/A,Theoretical,
11.Difference between immutable and mutable objects; ,Difference between immutable and mutable objects,Tech,Java,Object-Oriented Programming,Mutable vs. Immutable,Theoretical,
12.Tell flow how mailnotification in your service performs ,Explain the flow of mail notification in your service,Tech,N/A,System Design,Mail notification flow,Theoretical,
13.how user can add images in your application ,How can users add images in your application?,Tech,N/A,User Interface,Image uploading,Theoretical,
what is string and stringbuilder? ,What is String and StringBuilder?,Tech,Java,String manipulation,String vs. StringBuilder,Theoretical,
string reverse program? ,Write a program to reverse a string,Tech,Java,String manipulation,String reversal,Code Based,
swap 2 integer value without creating temp? ,Swap two integer values without creating a temporary variable,Tech,Java,Programming Fundamentals,Variable swapping,Code Based,
4)what is bean ? ,What is a bean?,Tech,Java/Spring,JavaBeans/Spring Framework,N/A,Theoretical,
5) what is IOC? ,What is IOC?,Tech,Java/Spring,Inversion of Control,N/A,Theoretical,
6)about array list and linked list? ,About ArrayList and LinkedList?,Tech,Java,Data Structures,"ArrayList, LinkedList",Theoretical,
8) what is == and equals() ? ,What is == and equals()?,Tech,Java,Java Operators/Methods,N/A,Theoretical,
9)inner join query? ,Inner join query?,Tech,SQL,SQL Queries,Joins,Code Based,
10)display duplicate name in sqltable? ,Display duplicate names in SQL table?,Tech,SQL,SQL Queries,Duplicate Records,Code Based,
11)display name starts with ra? ,"Display names starting with ""ra""?",Tech,SQL,SQL Queries,Filtering,Code Based,
" [07/06, 13:14] +91 96737 36884: Tell me About yourself ",Tell me about yourself,HR,N/A,Personal Introduction,N/A,Theoretical,
Tell me about your project? ,Tell me about your project,HR,N/A,Project Overview,N/A,Theoretical,
What have you done in project ,What have you done in the project?,HR,N/A,Project Contributions,N/A,Theoretical,
What is abstraction ,What is abstraction,Tech,N/A,Object-Oriented Programming (OOP),N/A,Theoretical,
Give information about oops concepts ,Give information about OOPs concepts,Tech,N/A,Object-Oriented Programming (OOP),N/A,Theoretical,
Difference between for and foreach loop ,Difference between for and foreach loop,Tech,Programming,Control Structures,N/A,Theoretical,
2 aptitude questions ,2 aptitude questions,Non-Tech,N/A,Aptitude,N/A,Both (Theoretical and Problem-solving),
Create table SQL queries ,Create table SQL queries,Tech,SQL,Database,Table Creation,Code Based,
Insert data into it ,Insert data into it,Tech,SQL,Database,Data Insertion,Code Based,
Query to display 2 largest?value of column?in a table ?  ,Query to display 2 largest values of column in a table,Tech,SQL,Database,Query Execution,Code Based,
Select * from table name group?by column?order by column?desc limit 2. ,SELECT * FROM table_name GROUP BY column ORDER BY column DESC LIMIT 2,Tech,SQL,Database,Query Execution,Code Based,
Difference between inner join and left join ? ,Difference between inner join and left join,Tech,Database,SQL,Joins,Theoretical,
Differences between Arraylist and inked list ? ,Differences between ArrayList and LinkedList,Tech,Programming,Data Structures,Lists,Theoretical,
Default access modifiers for interface methods ? ,Default access modifiers for interface methods?,Tech,N/A,Java Interface,N/A,Theoretical,
Can we define method in interface?? ,Can we define a method in an interface?,Tech,N/A,Java Interface,N/A,Theoretical,
What is Indexing ?  ,What is Indexing?,Tech,Database,Database Indexing,N/A,Theoretical,
When to use setter injection ? ,When to use setter injection?,Tech,Spring Framework,Dependency Injection,Setter Injection,Theoretical,
Why AOP in spring ? ,Why AOP in Spring?,Tech,Spring Framework,Aspect-Oriented Programming,N/A,Theoretical,
Sort an array of 100 in ascending?order ? ,Sort an array of 100 in ascending order?,Tech,Algorithms,Sorting,N/A,Code Based,
"Tell me about your project,what are the technologies ?used?in projects,  ","Tell me about your project, what technologies are used in it?",Non-Tech,N/A,Project Overview,N/A,Theoretical,
?How?to store data in a database. ,How to store data in a database?,Tech,Database,Database Storage,N/A,Theoretical,
